year,month,cpiu,rcpiurs,ccpiu,seriesCensusRec_mthly
1947,1,21.48,,,21.48
1947,2,21.620001,,,21.620001
1947,3,22,,,22
1947,4,22,,,22
1947,5,21.950001,,,21.950001
1947,6,22.08,,,22.08
1947,7,22.23,,,22.23
1947,8,22.4,,,22.4
1947,9,22.84,,,22.84
1947,10,22.91,,,22.91
1947,11,23.059999,,,23.059999
1947,12,23.41,,,23.41
1948,1,23.68,,,23.68
1948,2,23.67,,,23.67
1948,3,23.5,,,23.5
1948,4,23.82,,,23.82
1948,5,24.01,,,24.01
1948,6,24.15,,,24.15
1948,7,24.4,,,24.4
1948,8,24.43,,,24.43
1948,9,24.360001,,,24.360001
1948,10,24.309999,,,24.309999
1948,11,24.16,,,24.16
1948,12,24.049999,,,24.049999
1949,1,24.01,,,24.01
1949,2,23.91,,,23.91
1949,3,23.91,,,23.91
1949,4,23.92,,,23.92
1949,5,23.91,,,23.91
1949,6,23.92,,,23.92
1949,7,23.700001,,,23.700001
1949,8,23.700001,,,23.700001
1949,9,23.75,,,23.75
1949,10,23.67,,,23.67
1949,11,23.700001,,,23.700001
1949,12,23.610001,,,23.610001
1950,1,23.51,,,23.51
1950,2,23.610001,,,23.610001
1950,3,23.639999,,,23.639999
1950,4,23.65,,,23.65
1950,5,23.77,,,23.77
1950,6,23.879999,,,23.879999
1950,7,24.07,,,24.07
1950,8,24.200001,,,24.200001
1950,9,24.34,,,24.34
1950,10,24.5,,,24.5
1950,11,24.6,,,24.6
1950,12,24.98,,,24.98
1951,1,25.379999,,,25.379999
1951,2,25.83,,,25.83
1951,3,25.879999,,,25.879999
1951,4,25.92,,,25.92
1951,5,25.99,,,25.99
1951,6,25.93,,,25.93
1951,7,25.91,,,25.91
1951,8,25.860001,,,25.860001
1951,9,26.030001,,,26.030001
1951,10,26.16,,,26.16
1951,11,26.32,,,26.32
1951,12,26.469999,,,26.469999
1952,1,26.450001,,,26.450001
1952,2,26.41,,,26.41
1952,3,26.389999,,,26.389999
1952,4,26.459999,,,26.459999
1952,5,26.469999,,,26.469999
1952,6,26.530001,,,26.530001
1952,7,26.68,,,26.68
1952,8,26.690001,,,26.690001
1952,9,26.629999,,,26.629999
1952,10,26.690001,,,26.690001
1952,11,26.690001,,,26.690001
1952,12,26.709999,,,26.709999
1953,1,26.639999,,,26.639999
1953,2,26.59,,,26.59
1953,3,26.629999,,,26.629999
1953,4,26.690001,,,26.690001
1953,5,26.700001,,,26.700001
1953,6,26.77,,,26.77
1953,7,26.790001,,,26.790001
1953,8,26.85,,,26.85
1953,9,26.889999,,,26.889999
1953,10,26.950001,,,26.950001
1953,11,26.85,,,26.85
1953,12,26.870001,,,26.870001
1954,1,26.940001,,,26.940001
1954,2,26.99,,,26.99
1954,3,26.93,,,26.93
1954,4,26.860001,,,26.860001
1954,5,26.93,,,26.93
1954,6,26.940001,,,26.940001
1954,7,26.860001,,,26.860001
1954,8,26.85,,,26.85
1954,9,26.809999,,,26.809999
1954,10,26.719999,,,26.719999
1954,11,26.780001,,,26.780001
1954,12,26.77,,,26.77
1955,1,26.77,,,26.77
1955,2,26.82,,,26.82
1955,3,26.790001,,,26.790001
1955,4,26.790001,,,26.790001
1955,5,26.77,,,26.77
1955,6,26.709999,,,26.709999
1955,7,26.76,,,26.76
1955,8,26.719999,,,26.719999
1955,9,26.85,,,26.85
1955,10,26.82,,,26.82
1955,11,26.879999,,,26.879999
1955,12,26.870001,,,26.870001
1956,1,26.83,,,26.83
1956,2,26.860001,,,26.860001
1956,3,26.889999,,,26.889999
1956,4,26.93,,,26.93
1956,5,27.030001,,,27.030001
1956,6,27.15,,,27.15
1956,7,27.290001,,,27.290001
1956,8,27.309999,,,27.309999
1956,9,27.35,,,27.35
1956,10,27.51,,,27.51
1956,11,27.51,,,27.51
1956,12,27.629999,,,27.629999
1957,1,27.67,,,27.67
1957,2,27.799999,,,27.799999
1957,3,27.860001,,,27.860001
1957,4,27.93,,,27.93
1957,5,28,,,28
1957,6,28.110001,,,28.110001
1957,7,28.190001,,,28.190001
1957,8,28.280001,,,28.280001
1957,9,28.32,,,28.32
1957,10,28.32,,,28.32
1957,11,28.41,,,28.41
1957,12,28.469999,,,28.469999
1958,1,28.639999,,,28.639999
1958,2,28.700001,,,28.700001
1958,3,28.870001,,,28.870001
1958,4,28.940001,,,28.940001
1958,5,28.940001,,,28.940001
1958,6,28.91,,,28.91
1958,7,28.889999,,,28.889999
1958,8,28.940001,,,28.940001
1958,9,28.91,,,28.91
1958,10,28.91,,,28.91
1958,11,28.950001,,,28.950001
1958,12,28.969999,,,28.969999
1959,1,29.01,,,29.01
1959,2,29,,,29
1959,3,28.969999,,,28.969999
1959,4,28.98,,,28.98
1959,5,29.040001,,,29.040001
1959,6,29.110001,,,29.110001
1959,7,29.15,,,29.15
1959,8,29.18,,,29.18
1959,9,29.25,,,29.25
1959,10,29.35,,,29.35
1959,11,29.35,,,29.35
1959,12,29.41,,,29.41
1960,1,29.370001,,,29.370001
1960,2,29.41,,,29.41
1960,3,29.41,,,29.41
1960,4,29.540001,,,29.540001
1960,5,29.57,,,29.57
1960,6,29.610001,,,29.610001
1960,7,29.549999,,,29.549999
1960,8,29.610001,,,29.610001
1960,9,29.610001,,,29.610001
1960,10,29.75,,,29.75
1960,11,29.780001,,,29.780001
1960,12,29.809999,,,29.809999
1961,1,29.84,,,29.84
1961,2,29.84,,,29.84
1961,3,29.84,,,29.84
1961,4,29.809999,,,29.809999
1961,5,29.84,,,29.84
1961,6,29.84,,,29.84
1961,7,29.92,,,29.92
1961,8,29.940001,,,29.940001
1961,9,29.98,,,29.98
1961,10,29.98,,,29.98
1961,11,29.98,,,29.98
1961,12,30.01,,,30.01
1962,1,30.040001,,,30.040001
1962,2,30.110001,,,30.110001
1962,3,30.17,,,30.17
1962,4,30.209999,,,30.209999
1962,5,30.24,,,30.24
1962,6,30.209999,,,30.209999
1962,7,30.219999,,,30.219999
1962,8,30.280001,,,30.280001
1962,9,30.42,,,30.42
1962,10,30.379999,,,30.379999
1962,11,30.379999,,,30.379999
1962,12,30.379999,,,30.379999
1963,1,30.440001,,,30.440001
